"category","currency","delivery_date","dispatch_date","modified_at","order_date","order_ref","product","qty","status","supplier","expected_delivery"
"consumables","GBP","","16/11/2024","16/11/2024","14/11/2024","35","High-Grade Filter","99","Dispatched","ChemSupply Ltd","22/11/2024"
"consumables","GBP","21/11/2024","16/11/2024","21/11/2024","14/11/2024","35","High-Grade Filter","99","Delivered","ChemSupply Ltd","22/11/2024"
"consumables","GBP","","","04/07/2024","04/07/2024","36","High-Grade Filter","32","Raised","ChemSupply Ltd","12/07/2024"
"consumables","GBP","","06/07/2024","06/07/2024","04/07/2024","36","High-Grade Filter","32","Dispatched","ChemSupply Ltd","12/07/2024"
"equipment","JPY","","","25/04/2024","25/04/2024","37","Standard Sensor","86","Raised","LabTech Solutions","23/05/2024"
"equipment","JPY","","","22/12/2024","22/12/2024","38","Standard Calibrator","2","Raised","LabTech Solutions","19/01/2025"
"equipment","JPY","","","23/12/2024","22/12/2024","38","Standard Calibrator","15","Raised","LabTech Solutions","19/01/2025"
"equipment","JPY","","30/12/2024","30/12/2024","22/12/2024","38","Standard Calibrator","15","Dispatched","LabTech Solutions","19/01/2025"
"equipment","JPY","15/01/2025","30/12/2024","15/01/2025","22/12/2024","38","Standard Calibrator","15","Delivered","LabTech Solutions","19/01/2025"
"consumables","GBP","","","29/04/2024","29/04/2024","39","Regular Filter","1","Raised","ChemSupply Ltd","07/05/2024"
"consumables","GBP","","02/05/2024","02/05/2024","29/04/2024","39","Regular Filter","1","Dispatched","ChemSupply Ltd","07/05/2024"
"consumables","GBP","06/05/2024","02/05/2024","06/05/2024","29/04/2024","39","Regular Filter","1","Delivered","ChemSupply Ltd","07/05/2024"
"consumables","USD","","","02/11/2024","02/11/2024","40","Discount Reagent","71","Raised","BulkChem Inc","07/12/2024"
"consumables","USD","","14/11/2024","14/11/2024","02/11/2024","40","Discount Reagent","71","Dispatched","BulkChem Inc","07/12/2024"
"consumables","USD","08/12/2024","14/11/2024","08/12/2024","02/11/2024","40","Discount Reagent","71","Delivered","BulkChem Inc","07/12/2024"
"equipment","USD","","","28/08/2024","28/08/2024","41","Unlabelled Probe","42","Raised","[REDACTED]","21/09/2024"
"equipment","JPY","","","19/01/2024","19/01/2024","42","Regular Sensor","10","Raised","LabTech Solutions","16/02/2024"
"equipment","JPY","","23/01/2024","23/01/2024","19/01/2024","42","Regular Sensor","10","Dispatched","LabTech Solutions","16/02/2024"
"reference","GBP","","","30/10/2024","30/10/2024","43","TEST ITEM - DO NOT USE","1","Raised","SYSTEM_TEST","01/11/2024"
"reference","GBP","","31/10/2024","31/10/2024","30/10/2024","43","TEST ITEM - DO NOT USE","1","Dispatched","SYSTEM_TEST","01/11/2024"
"reference","GBP","01/11/2024","31/10/2024","01/11/2024","30/10/2024","43","TEST ITEM - DO NOT USE","1","Delivered","SYSTEM_TEST","01/11/2024"
"consumables","USD","","","25/07/2024","25/07/2024","44","Untraceable Extra Reagent","16","Raised","[REDACTED]","18/08/2024"
"consumables","USD","","","30/07/2024","25/07/2024","44","Untraceable Extra Reagent","11","Raised","[REDACTED]","18/08/2024"
"consumables","USD","","04/08/2024","04/08/2024","25/07/2024","44","Untraceable Extra Reagent","11","Dispatched","[REDACTED]","18/08/2024"
"consumables","USD","28/08/2024","04/08/2024","28/08/2024","25/07/2024","44","Untraceable Extra Reagent","11","Delivered","[REDACTED]","18/08/2024"
"consumables","GBP","","","21/09/2024","21/09/2024","45","Regular Filter","26","Raised","ChemSupply Ltd","29/09/2024"
"consumables","GBP","","24/09/2024","24/09/2024","21/09/2024","45","Regular Filter","26","Dispatched","ChemSupply Ltd","29/09/2024"
"consumables","USD","","","30/03/2024","30/03/2024","46","Budget Reagent","30","Raised","BulkChem Inc","04/05/2024"
"consumables","USD","","09/04/2024","09/04/2024","30/03/2024","46","Budget Reagent","30","Dispatched","BulkChem Inc","04/05/2024"
"consumables","USD","10/04/2024","09/04/2024","10/04/2024","30/03/2024","46","Budget Reagent","30","Delivered","BulkChem Inc","04/05/2024"
"equipment","JPY","","","22/06/2024","22/06/2024","47","Precision Calibrator","81","Raised","LabTech Solutions","20/07/2024"
"equipment","JPY","","26/06/2024","26/06/2024","22/06/2024","47","Precision Calibrator","81","Dispatched","LabTech Solutions","20/07/2024"
"equipment","JPY","18/07/2024","26/06/2024","18/07/2024","22/06/2024","47","Precision Calibrator","81","Delivered","LabTech Solutions","20/07/2024"
"consumables","GBP","","","08/11/2024","08/11/2024","48","Premium-Quality Solvent","28","Raised","ChemSupply Ltd","16/11/2024"
"consumables","GBP","","11/11/2024","11/11/2024","08/11/2024","48","Premium-Quality Solvent","28","Dispatched","ChemSupply Ltd","16/11/2024"
"equipment","USD","","","20/08/2024","20/08/2024","49","Unlabelled Sensor","94","Raised","[REDACTED]","13/09/2024"
"equipment","JPY","","","24/12/2024","24/12/2024","50","Standard Calibrator","72","Raised","LabTech Solutions","21/01/2025"
"equipment","JPY","","31/12/2024","31/12/2024","24/12/2024","50","Standard Calibrator","72","Dispatched","LabTech Solutions","21/01/2025"
"equipment","JPY","13/01/2025","31/12/2024","13/01/2025","24/12/2024","50","Standard Calibrator","72","Delivered","LabTech Solutions","21/01/2025"
"reference","GBP","","","06/09/2024","06/09/2024","51","TEST ITEM - DO NOT USE","5","Raised","SYSTEM_TEST","08/09/2024"
"consumables","GBP","","","27/11/2024","27/11/2024","52","High-Grade Filter","29","Raised","ChemSupply Ltd","05/12/2024"
"consumables","GBP","","01/12/2024","01/12/2024","27/11/2024","52","High-Grade Filter","29","Dispatched","ChemSupply Ltd","05/12/2024"
"equipment","JPY","","","04/05/2024","04/05/2024","53","Precision Probe","38","Raised","LabTech Solutions","01/06/2024"
"equipment","JPY","","11/05/2024","11/05/2024","04/05/2024","53","Precision Probe","38","Dispatched","LabTech Solutions","01/06/2024"
"consumables","USD","","","05/02/2024","05/02/2024","54","Unlabelled Filter","99","Raised","[REDACTED]","29/02/2024"
"consumables","USD","","20/02/2024","20/02/2024","05/02/2024","54","Unlabelled Filter","99","Dispatched","[REDACTED]","29/02/2024"
"consumables","USD","04/03/2024","20/02/2024","04/03/2024","05/02/2024","54","Unlabelled Filter","99","Delivered","[REDACTED]","29/02/2024"
"equipment","JPY","","","22/10/2024","22/10/2024","55","Regular Probe","24","Raised","LabTech Solutions","19/11/2024"
"equipment","JPY","","28/10/2024","28/10/2024","22/10/2024","55","Regular Probe","24","Dispatched","LabTech Solutions","19/11/2024"
"consumables","USD","","","25/03/2024","25/03/2024","56","Bargain Solvent","76","Raised","BulkChem Inc","29/04/2024"
"consumables","USD","","06/04/2024","06/04/2024","25/03/2024","56","Bargain Solvent","76","Dispatched","BulkChem Inc","29/04/2024"
"consumables","USD","25/04/2024","06/04/2024","25/04/2024","25/03/2024","56","Bargain Solvent","76","Delivered","BulkChem Inc","29/04/2024"
"equipment","JPY","","","08/07/2024","08/07/2024","57","Standard Probe","68","Raised","LabTech Solutions","05/08/2024"
"equipment","JPY","","14/07/2024","14/07/2024","08/07/2024","57","Standard Probe","68","Dispatched","LabTech Solutions","05/08/2024"
"consumables","USD","","","26/11/2024","26/11/2024","58","Suspiciously Cheap Reagent","26","Raised","[REDACTED]","20/12/2024"
"consumables","USD","","09/12/2024","09/12/2024","26/11/2024","58","Suspiciously Cheap Reagent","26","Dispatched","[REDACTED]","20/12/2024"
"consumables","USD","09/01/2025","09/12/2024","09/01/2025","26/11/2024","58","Suspiciously Cheap Reagent","26","Delivered","[REDACTED]","20/12/2024"
"equipment","JPY","","","20/12/2024","20/12/2024","59","Performance Probe","24","Raised","LabTech Solutions","17/01/2025"
"equipment","JPY","","31/12/2024","31/12/2024","20/12/2024","59","Performance Probe","24","Dispatched","LabTech Solutions","17/01/2025"
"consumables","GBP","","","15/06/2024","15/06/2024","60","Ordinary Filter","29","Raised","ChemSupply Ltd","23/06/2024"
"equipment","JPY","","","30/03/2024","30/03/2024","61","Performance Probe","60","Raised","LabTech Solutions","27/04/2024"
"equipment","JPY","","05/04/2024","05/04/2024","30/03/2024","61","Performance Probe","60","Dispatched","LabTech Solutions","27/04/2024"
"equipment","JPY","22/04/2024","05/04/2024","22/04/2024","30/03/2024","61","Performance Probe","60","Delivered","LabTech Solutions","27/04/2024"
"consumables","USD","","","26/04/2024","26/04/2024","62","Approved Filter","82","Raised","BulkChem Inc","31/05/2024"
"consumables","USD","","13/05/2024","13/05/2024","26/04/2024","62","Approved Filter","82","Dispatched","BulkChem Inc","31/05/2024"
"consumables","GBP","","","08/05/2024","08/05/2024","63","Ordinary Reagent","100","Raised","ChemSupply Ltd","16/05/2024"
"consumables","GBP","","11/05/2024","11/05/2024","08/05/2024","63","Ordinary Reagent","100","Dispatched","ChemSupply Ltd","16/05/2024"
"consumables","USD","","","07/07/2024","07/07/2024","64","Suspiciously Cheap Solvent","31","Raised","[REDACTED]","31/07/2024"
"consumables","USD","","10/07/2024","10/07/2024","07/07/2024","64","Suspiciously Cheap Solvent","31","Dispatched","[REDACTED]","31/07/2024"
"consumables","USD","","","13/12/2024","13/12/2024","65","Budget Filter","45","Raised","BulkChem Inc","17/01/2025"
"consumables","USD","","30/12/2024","30/12/2024","13/12/2024","65","Budget Filter","45","Dispatched","BulkChem Inc","17/01/2025"
"consumables","USD","","","03/05/2024","03/05/2024","66","Budget Filter","50","Raised","BulkChem Inc","07/06/2024"
"consumables","USD","","16/05/2024","16/05/2024","03/05/2024","66","Budget Filter","50","Dispatched","BulkChem Inc","07/06/2024"
"consumables","USD","","","12/04/2024","12/04/2024","67","Unstable Reagent","58","Raised","[REDACTED]","06/05/2024"
"consumables","USD","","","15/04/2024","12/04/2024","67","Unstable Reagent","3","Raised","[REDACTED]","06/05/2024"
"consumables","USD","","20/04/2024","20/04/2024","12/04/2024","67","Unstable Reagent","3","Dispatched","[REDACTED]","06/05/2024"
"consumables","USD","29/04/2024","20/04/2024","29/04/2024","12/04/2024","67","Unstable Reagent","3","Delivered","[REDACTED]","06/05/2024"
"reference","GBP","","","07/11/2024","07/11/2024","68","TEST ITEM - DO NOT USE","71","Raised","SYSTEM_TEST","09/11/2024"
"reference","GBP","","08/11/2024","08/11/2024","07/11/2024","68","TEST ITEM - DO NOT USE","71","Dispatched","SYSTEM_TEST","09/11/2024"
"consumables","GBP","","","01/03/2024","01/03/2024","69","Premium-Quality Solvent","78","Raised","ChemSupply Ltd","09/03/2024"
"equipment","USD","","","01/08/2024","01/08/2024","70","Unlabelled Probe","24","Raised","[REDACTED]","25/08/2024"
"equipment","JPY","","","07/01/2024","07/01/2024","71","Standard Sensor","24","Raised","LabTech Solutions","04/02/2024"
"equipment","JPY","","","16/01/2024","07/01/2024","71","Standard Sensor","11","Raised","LabTech Solutions","04/02/2024"
"equipment","JPY","","","16/01/2024","07/01/2024","71","Standard Sensor","11","Raised","LabTech Solutions","04/02/2024"
"equipment","JPY","","20/01/2024","20/01/2024","07/01/2024","71","Standard Sensor","11","Dispatched","LabTech Solutions","04/02/2024"
"consumables","USD","","","02/07/2024","02/07/2024","72","Bargain Filter","73","Raised","BulkChem Inc","06/08/2024"
"consumables","USD","","09/07/2024","09/07/2024","02/07/2024","72","Bargain Filter","73","Dispatched","BulkChem Inc","06/08/2024"
"consumables","USD","01/08/2024","09/07/2024","01/08/2024","02/07/2024","72","Bargain Filter","73","Delivered","BulkChem Inc","06/08/2024"
"consumables","GBP","","","27/08/2024","27/08/2024","73","Standard Reagent","5","Raised","ChemSupply Ltd","04/09/2024"
"consumables","GBP","","","29/08/2024","27/08/2024","73","Standard Reagent","60","Raised","ChemSupply Ltd","04/09/2024"
"consumables","GBP","","30/08/2024","30/08/2024","27/08/2024","73","Standard Reagent","60","Dispatched","ChemSupply Ltd","04/09/2024"
"consumables","GBP","","","18/09/2024","18/09/2024","74","Ordinary Solvent","2","Raised","ChemSupply Ltd","26/09/2024"
"consumables","GBP","","21/09/2024","21/09/2024","18/09/2024","74","Ordinary Solvent","2","Dispatched","ChemSupply Ltd","26/09/2024"
"consumables","GBP","27/09/2024","21/09/2024","27/09/2024","18/09/2024","74","Ordinary Solvent","2","Delivered","ChemSupply Ltd","26/09/2024"
"equipment","JPY","","","08/09/2024","08/09/2024","75","Precision Sensor","13","Raised","LabTech Solutions","06/10/2024"
"equipment","JPY","","19/09/2024","19/09/2024","08/09/2024","75","Precision Sensor","13","Dispatched","LabTech Solutions","06/10/2024"
"equipment","JPY","04/10/2024","19/09/2024","04/10/2024","08/09/2024","75","Precision Sensor","13","Delivered","LabTech Solutions","06/10/2024"
"equipment","JPY","","","09/12/2024","09/12/2024","76","Precision Probe","64","Raised","LabTech Solutions","06/01/2025"
"equipment","JPY","","","10/12/2024","09/12/2024","76","Precision Probe","90","Raised","LabTech Solutions","06/01/2025"
"equipment","JPY","","12/12/2024","12/12/2024","09/12/2024","76","Precision Probe","90","Dispatched","LabTech Solutions","06/01/2025"
"equipment","JPY","06/01/2025","12/12/2024","06/01/2025","09/12/2024","76","Precision Probe","90","Delivered","LabTech Solutions","06/01/2025"
"consumables","USD","","","26/06/2024","26/06/2024","77","Mass-Produced Filter","38","Raised","BulkChem Inc","31/07/2024"
"consumables","USD","","18/07/2024","18/07/2024","26/06/2024","77","Mass-Produced Filter","38","Dispatched","BulkChem Inc","31/07/2024"
"consumables","USD","09/08/2024","18/07/2024","09/08/2024","26/06/2024","77","Mass-Produced Filter","38","Delivered","BulkChem Inc","31/07/2024"
"consumables","GBP","","","15/11/2024","15/11/2024","78","Ordinary Reagent","1","Raised","ChemSupply Ltd","23/11/2024"
"consumables","GBP","","18/11/2024","18/11/2024","15/11/2024","78","Ordinary Reagent","1","Dispatched","ChemSupply Ltd","23/11/2024"
"consumables","GBP","26/11/2024","18/11/2024","26/11/2024","15/11/2024","78","Ordinary Reagent","1","Delivered","ChemSupply Ltd","23/11/2024"
"consumables","USD","","","10/07/2024","10/07/2024","79","Budget Filter","59","Raised","BulkChem Inc","14/08/2024"
"consumables","GBP","","","01/07/2024","01/07/2024","80","Ordinary Reagent","6","Raised","ChemSupply Ltd","09/07/2024"
"consumables","GBP","","05/07/2024","05/07/2024","01/07/2024","80","Ordinary Reagent","6","Dispatched","ChemSupply Ltd","09/07/2024"
"equipment","JPY","","","16/09/2024","16/09/2024","81","Performance Calibrator","9","Raised","LabTech Solutions","14/10/2024"
"equipment","JPY","","","16/09/2024","16/09/2024","82","Ordinary Calibrator","76","Raised","LabTech Solutions","14/10/2024"
"equipment","JPY","","17/09/2024","17/09/2024","16/09/2024","82","Ordinary Calibrator","76","Dispatched","LabTech Solutions","14/10/2024"
"equipment","JPY","29/09/2024","17/09/2024","29/09/2024","16/09/2024","82","Ordinary Calibrator","76","Delivered","LabTech Solutions","14/10/2024"
"consumables","USD","","","18/06/2024","18/06/2024","83","Approved Filter","32","Raised","BulkChem Inc","23/07/2024"
"consumables","USD","","06/07/2024","06/07/2024","18/06/2024","83","Approved Filter","32","Dispatched","BulkChem Inc","23/07/2024"
"consumables","GBP","","","29/01/2024","29/01/2024","84","Ordinary Filter","96","Raised","ChemSupply Ltd","06/02/2024"
"consumables","GBP","","30/01/2024","30/01/2024","29/01/2024","84","Ordinary Filter","96","Dispatched","ChemSupply Ltd","06/02/2024"
"consumables","GBP","01/02/2024","30/01/2024","01/02/2024","29/01/2024","84","Ordinary Filter","96","Delivered","ChemSupply Ltd","06/02/2024"
"equipment","JPY","","","09/11/2024","09/11/2024","85","Performance Sensor","46","Raised","LabTech Solutions","07/12/2024"
"equipment","JPY","","19/11/2024","19/11/2024","09/11/2024","85","Performance Sensor","46","Dispatched","LabTech Solutions","07/12/2024"
"consumables","USD","","","11/02/2024","11/02/2024","86","Unlabelled Filter","72","Raised","[REDACTED]","06/03/2024"
"reference","GBP","","","26/11/2024","26/11/2024","87","TEST ITEM - DO NOT USE","60","Raised","SYSTEM_TEST","28/11/2024"
"reference","GBP","","27/11/2024","27/11/2024","26/11/2024","87","TEST ITEM - DO NOT USE","60","Dispatched","SYSTEM_TEST","28/11/2024"
"equipment","JPY","","","09/04/2024","09/04/2024","88","Ordinary Probe","40","Raised","LabTech Solutions","07/05/2024"
"consumables","USD","","","22/07/2024","22/07/2024","89","Regulation Solvent","31","Raised","BulkChem Inc","26/08/2024"
"consumables","USD","","08/08/2024","08/08/2024","22/07/2024","89","Regulation Solvent","31","Dispatched","BulkChem Inc","26/08/2024"
"consumables","USD","","08/08/2024","08/08/2024","22/07/2024","89","Regulation Solvent","31","Dispatched","BulkChem Inc","26/08/2024"
"consumables","USD","","","20/11/2024","20/11/2024","90","Mass-Produced Filter","14","Raised","BulkChem Inc","25/12/2024"
"consumables","USD","","","27/05/2024","27/05/2024","91","Suspiciously Cheap Filter","7","Raised","[REDACTED]","20/06/2024"
"consumables","USD","","","01/06/2024","27/05/2024","91","Suspiciously Cheap Filter","76","Raised","[REDACTED]","20/06/2024"
"equipment","JPY","","","11/01/2024","11/01/2024","92","Hyper Probe","25","Raised","LabTech Solutions","08/02/2024"
"equipment","JPY","","18/01/2024","18/01/2024","11/01/2024","92","Hyper Probe","25","Dispatched","LabTech Solutions","08/02/2024"
